Bridge Site ID,Longitude,Latitude,District,Country
006f100000cMOsW,30.0783,-1.43057,all,Rwanda
006f100000bMK0o,30.08827,-1.44522,all,Rwanda
006f100000d7x5A,29.75411,-2.7242,all,Rwanda
006f100000d1fUr,29.03953,-2.57161,all,Rwanda
006f100000d7Pqw,29.61731,-2.08128,all,Rwanda
006f100000d1fVL,29.04596,-2.59647,all,Rwanda
006f100000a86Gk,29.43339,-2.69743,all,Rwanda
006f100000d1fSW,29.455833,-2.269072,all,Rwanda
006f100000d7wY2,29.4189,-2.08015,all,Rwanda
006f100000aSNCS,29.370611,-1.746972,all,Rwanda
006f100000d7x5F,29.708728,-2.775531,all,Rwanda
006f100000cME4x,29.493611,-1.94833,all,Rwanda
006f100000d88IH,29.219801,-2.393212,all,Rwanda
006f100000d7iXg,29.34447,-1.84493,all,Rwanda
006f100000d7JCY,29.55258167,-2.46756167,all,Rwanda
006f100000d1Tt1,28.96442,-2.61167,all,Rwanda
006f100000c5Vbq,29.8198,-1.65575,all,Rwanda
006f100000d88KN,29.2193,-2.36254,all,Rwanda
006f100000d7iaQ,29.79563,-1.64845,all,Rwanda
006f100000d1fU8,29.40848,-2.24468,all,Rwanda
006f100000a86IS,29.35777,-1.96638,all,Rwanda
006f100000a86GA,29.464333,-2.7791667,all,Rwanda
006f100000d1fSq,29.42796,-2.26958,all,Rwanda
006f100000a86Hp,30.01969,-1.75328,all,Rwanda
006f100000d7iRd,29.36963,-1.93229,all,Rwanda
006f100000d7iRn,29.34277,-1.88027,all,Rwanda
006f100000a86Hn,30.06324,-1.76842,all,Rwanda
006f100000d889y,29.507745,-2.18942,all,Rwanda
006f100000a86Hx,29.98846,-1.79476,all,Rwanda
006f100000d88Kh,29.147336,-2.353335,all,Rwanda
006f100000d7Gre,29.47289,-1.61142,all,Rwanda
006f100000d1fTZ,29.47791,-2.25545,all,Rwanda
006f100000d8Aj0,29.81743,-2.59858,all,Rwanda
006f100000eescb,29.877686,-1.870868,all,Rwanda
006f100000ef6z5,30.47381,-1.99518,all,Rwanda
006f100000cME5M,29.532291,-1.953832,all,Rwanda
006f100000d75zy,29.58301667,2.495585,all,Rwanda
006f100000a86Er,29.51309,-1.70215,all,Rwanda
006f100000d6yLC,29.58643,-1.63099,all,Rwanda
006f100000d889Z,29.38608,-2.09219,all,Rwanda
006f100000d1fVa,29.03227,-2.72777,all,Rwanda
006f100000d7EZM,29.67449787,-1.97717889,all,Rwanda
006f100000d7icq,29.8756,-1.76435,all,Rwanda
006f100000d1fSl,29.40968,-2.1809,all,Rwanda
006f100000a86Et,30.250622,-1.334487,all,Rwanda
006f100000a86IC,29.02778,-2.68722,all,Rwanda
006f100000d761f,29.70503476,-1.83974569,all,Rwanda
006f100000a86Ev,30.26354,-1.42439,all,Rwanda
006f100000d1hI6,29.14898,-2.36102,all,Rwanda
006f100000ef6yH,30.695041,-2.208786,all,Rwanda
006f100000a86DW,30.07666,-1.72859,all,Rwanda
006f100000d6wI5,29.420032,-2.346276,all,Rwanda
006f100000d1f2O,29.092203,-2.401338,all,Rwanda
006f100000a86Gt,29.47937167,-2.636655,all,Rwanda
006f100000d760D,29.89157,-1.60203,all,Rwanda
006f100000d7koK,29.53444,-1.74404,all,Rwanda
006f100000d7QQT,29.6697,-2.51947,all,Rwanda
006f100000d1Tt6,28.96343,-2.62002,all,Rwanda
006f100000dhpDe,29.81693,-2.18748,all,Rwanda
006f100000d7iVz,29.381944,-1.9775,all,Rwanda
006f100000d7iWE,29.381944,-1.9752777,all,Rwanda
006f100000d75ze,29.8126,-1.51287,all,Rwanda
006f100000d75zK,29.81161,-1.51139,all,Rwanda
006f100000d1fNR,29.491565,-2.246215,all,Rwanda
006f100000d88PD,29.203302,-2.442198,all,Rwanda
006f100000d7crl,29.80862,-1.65105,all,Rwanda
006f100000a86EX,29.6403611,-1.9307222,all,Rwanda
006f100000eeqs4,29.930816,-2.041621,all,Rwanda
006f100000d7Q4x,29.631873,-1.530129,all,Rwanda
006f100000d1hDp,29.1315,-2.38897,all,Rwanda
006f100000d75zZ,29.590113,-2.515992,all,Rwanda
