Bridge Site ID,Longitude,Latitude,District
0063Z00000nruCU,29.748408,0.009269,Kasese
0063Z00000mYvH8,30.5831,0.009157,Ibanda
0063Z00000oLE9H,29.814928,0.00871,Kasese
0063Z00000oLjgw,29.738337,0.000133,Kasese
0063Z00000nruBb,29.813577,-1.7e-05,Kasese
0063Z00000oLE7Q,29.771137,-0.013707,Kasese
0063Z00000nruCK,29.772325,-0.019547,Kasese
0063Z00000nruBq,29.803757,-0.030712,Kasese
0063Z00000ixAiX,30.570408,-0.031115,Ibanda
0063Z00000ixAim,30.451417,-0.040117,Ibanda
0063Z00000mYvGy,30.568234,-0.043304,Ibanda
0063Z00000ixAhy,30.54021,-0.04336,Ibanda
0063Z00000ixAiI,30.568601,-0.043531,Ibanda
0063Z00000ixAi8,30.525787,-0.059566,Ibanda
0063Z00000ixAgq,30.43596,-0.062238,Ibanda
0063Z00000ixAgl,30.569906,-0.109694,Ibanda
0063Z00000mYoAN,30.283477,-0.115069,Ibanda
0063Z00000hvxtm,30.283261,-0.115367,Ibanda
0063Z00000hvxtX,30.55557,-0.120476,Ibanda
0063Z00000mYoA3,30.297479,-0.121584,Ibanda
0063Z00000huPue,30.422006,-0.126645,Ibanda
0063Z00000huGGL,30.498804,-0.14743,Ibanda
0063Z00000mYoB1,30.275841,-0.148989,Ibanda
0063Z00000mYo4V,30.361206,-0.158912,Ibanda
0063Z00000mYoBL,30.372726,-0.172347,Ibanda
0063Z00000huGGa,30.530784,-0.176814,Ibanda
0063Z00000huGGk,30.528858,-0.188169,Ibanda
0063Z00000ixAiD,30.426929,-0.210705,Ibanda
0063Z00000ixAhF,30.454859,-0.21521,Ibanda
0063Z00000mYzXS,30.481807,-0.242803,Ibanda
0063Z00000ixAgM,30.498536,-0.249153,Ibanda
0063Z00000ixAg2,30.437223,-0.287358,Ibanda
