Bridge Site ID,Longitude,Latitude
006f100000a86D2,29.755277,-1.738888
006f100000d7bA7,29.9468,-2.40829
006f100000eev0v,30.550523,-1.286986
006f100000ZQRq3,30.113889,-1.820833
006f100000atwPz,29.700843,-2.115072
006f100000a86GK,29.67607,-2.71578
006f100000a86Gx,29.73864,-2.71667
006f100000c5VQs,29.81207,-1.75261
006f100000c5pcI,29.62303,-1.83113
006f100000a86GF,29.446917,-2.697944
006f100000c5pcI,29.62303,-1.83113
006f100000d75v6,29.568185,-2.52565
006f100000d6wO8,29.4097,-2.34743667
006f100000d6wOD,29.4072,-2.35571333
006f100000d7iUr,29.29776,-1.80169
006f100000a86Cu,29.80729,-1.377
006f100000d6yKi,29.4215,-1.66374
006f100000d7Pr6,29.60749,-1.92556
006f100000a86Gu,29.6986,2.79415
006f100000a86F2,29.4665,-2.448025
006f100000cPnOG,29.57333333,-2.228055556
006f100000d6wNy,29.503838,-2.540715
006f100000a86D4,29.64861111,-1.693888889
006f100000d75uw,29.5136,-2.53568
006f100000d7wXY,29.42192,-2.17593
006f100000dhyad,29.542492,-2.424161
006f100000a86IG,29.3735,-1.89261
006f100000d1fV1,29.0416,-2.60327
006f100000d6wBj,29.70737206,-2.05014799
006f100000d6wC8,29.66985,-1.77229
006f100000d7iQB,29.30777,-1.7628
006f100000d88A3,-29.49645,-2.19348
006f100000dhpEm,29.80888,-1.6897222
006f100000d7678,29.8712,-2.2794
006f100000d7Gro,29.50069,-1.66137
006f100000eekW9,30.15516,-1.44263
006f100000a86Fk,29.206295,-2.280762
006f100000ef7jT,30.437908,-2.21354
006f100000a86Gf,29.66886,-2.77066667
006f100000d78P4,29.514311,-2.271943
006f100000eev1t,30.201582,-1.576221
006f100000d6wIK,29.409702,-2.345908
006f100000d7hE3,29.43474,-2.62757667
006f100000eekWO,30.25549,-1.43877
006f100000eekgW,29.81828,-2.08488
006f100000d7Pq8,29.5796,-2.04927
006f100000d1hIk,29.1422,-2.33616
006f100000d7iV6,29.31405,-1.8011
006f100000a86ER,29.58247,-1.82273
006f100000a86HD,29.53638889,-2.53305556
006f100000d1hPv,29.67281,-2.74006
006f100000d7iU8,29.30452,-1.80495
006f100000eeuxr,29.5995,-2.136568
006f100000a86ER,29.58247,-1.82273
006f100000d6wBU,29.77510744,-1.95197033
006f100000d6wOI,29.40052667,-2.373135
006f100000a86IT,29.370833,-1.90083
006f100000bMJzC,30.0909,-1.46305
006f100000d88Kw,29.188273,-2.408611
006f100000d7ayv,29.42038,-2.10774
